"ID","n_rounds","condition","age","gender","nationality","group_ID","linked_n","link","linked_words","confidence","guessing","guess_n","is_success","round","linked","guessed"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",5,"hunger","3, 6, 10, 22, 20",8,"6, 3, 14, 1, 23",2,0,1,"statue,cave,ant,werewolf,kitchen","cinnamon,butter,soup,werewolf,kitchen"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"bread","14",10,"14",1,1,8,"butter","butter"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",5,"idiot","1, 2, 5, 14, 19",7,"2, 19, 7, 25, 22",2,0,2,"cinnamon,butter,llama,idea,igloo","llama,idea,ant,devil,religion"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"hideout","20,22",8,"20, 24",1,0,9,"cave,ant","cave,bed"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",3,"enemy","22, 25, 20",8,"25, 17, 11",1,0,3,"cave,ant,devil","tank,ghost,devil"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"flying","8, 17",10,"8, 18",1,0,10,"ghost,eagle","cloud,eagle"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",3,"smelly","1, 14, 12",10,"1, 12, 8",2,0,4,"cinnamon,pine,butter","cinnamon,pine,eagle"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"small","22",10,"22",1,1,11,"ant","ant"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",2,"marvel","16, 10",9,"16, 21",1,0,5,"statue,wonder","wonder,pearl"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"nightmare","17",10,"17",1,1,12,"ghost","ghost"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"06yc9abg",12,"F",21,"M","czech","Covert Mixer",1,"art","10",10,"10",1,1,7,"statue","statue"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"monster","3,25",8,"3, 25",2,1,1,"devil,werewolf","devil,werewolf"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"dead","17",9,"17",1,1,8,"ghost","ghost"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"vertebrate","19, 8",9,"8, 19",2,1,2,"llama,eagle","llama,eagle"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"speleology","20",10,"20",1,1,9,"cave","cave"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"tiny","22",10,"22",1,1,3,"ant","ant"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",1,"flora","12",10,"12",1,1,10,"pine","pine"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"freezing","5, 17",7,"5, 20",1,0,4,"ghost,igloo","cave,igloo"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"creating","10, 6",5,"10, 6",2,1,5,"statue,kitchen","statue,kitchen"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"ingredient","1, 14",9,"14, 1",2,1,6,"cinnamon,butter","cinnamon,butter"
"0w9bzg1w",10,"S",20,"F","czech","Violet Guitar",2,"unreal","2, 16",8,"2, 16",2,1,7,"wonder,idea","wonder,idea"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"freezing","5, 17",7,"5, 20",1,0,4,"ghost,igloo","cave,igloo"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"creating","10, 6",5,"10, 6",2,1,5,"statue,kitchen","statue,kitchen"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"ingredient","1, 14",9,"14, 1",2,1,6,"cinnamon,butter","cinnamon,butter"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"unreal","2, 16",8,"2, 16",2,1,7,"wonder,idea","wonder,idea"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"monster","3,25",8,"3, 25",2,1,1,"devil,werewolf","devil,werewolf"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"dead","17",9,"17",1,1,8,"ghost","ghost"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",2,"vertebrate","19, 8",9,"8, 19",2,1,2,"llama,eagle","llama,eagle"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"speleology","20",10,"20",1,1,9,"cave","cave"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"tiny","22",10,"22",1,1,3,"ant","ant"
"1bal6azg",10,"S",24,"M","USA","Violet Guitar",1,"flora","12",10,"12",1,1,10,"pine","pine"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",3,"runners","3, 22, 19",7,"3,22,19",3,1,1,"llama,ant,werewolf","llama,ant,werewolf"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",3,"white","17, 5, 8",8,"5, 17, 8",3,1,2,"ghost,igloo,eagle","ghost,igloo,eagle"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"rock","10,20",9,"20,10",2,1,3,"statue,cave","statue,cave"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"ingredient","1,14",8,"1, 14",2,1,4,"cinnamon,butter","cinnamon,butter"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"thought","2,16",8,"2, 16",2,1,5,"wonder,idea","wonder,idea"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",1,"forest","12",10,"12",1,1,6,"pine","pine"
"352oxcny",7,"S",26,"F","Slovak","Jade Piccolo",2,"spicy","6,25",8,"6,25",2,1,7,"devil,kitchen","devil,kitchen"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",3,"foodmaking","23,6, 1",6,"6, 23,14",2,0,1,"cinnamon,soup,kitchen","butter,soup,kitchen"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",2,"fly","8, 17",6,"8, 18",1,0,2,"ghost,eagle","cloud,eagle"
"3k271zax",3,"F",24,"F","Danish","Rowdy Pony",3,"animal","3, 19, 22",8,"3, 19, 22",3,1,3,"llama,ant,werewolf","llama,ant,werewolf"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"shapeshifter","3",10,"3",1,1,1,"werewolf","werewolf"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"melting","14, 5",6,"5,14",2,1,8,"butter,igloo","butter,igloo"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"furry","19",9,"19",1,1,2,"llama","llama"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"dark","20",8,"20",1,1,9,"cave","cave"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"think","2,16",9,"2, 16",2,1,3,"wonder,idea","wonder,idea"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"cone","12",10,"12",1,1,10,"pine","pine"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"bold","17, 8",7,"8,22",1,0,4,"ghost,eagle","ant,eagle"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",2,"Ramsay","6,25",8,"6, 25",2,1,11,"devil,kitchen","devil,kitchen"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"art","10",10,"10",1,1,5,"statue","statue"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"dead","17",10,"17",1,1,12,"ghost","ghost"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"5k34w083",13,"F",21,"F","Slovak","Unnecessary Mixer",1,"insect","22",10,"22",1,1,7,"ant","ant"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"abstract","2,16",8,"2,16",2,1,1,"wonder,idea","wonder,idea"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"tree","12",10,"12",1,1,8,"pine","pine"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"ingredients","1,14",9,"1,14",2,1,2,"cinnamon,butter","cinnamon,butter"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"room","6",10,"6",1,1,9,"kitchen","kitchen"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"stone","10,20",6,"10,13",1,0,3,"statue,cave","statue,maze"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"insect","22",10,"22",1,1,11,"ant","ant"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"cold","5,17",9,"5,17",2,1,4,"ghost,igloo","ghost,igloo"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"mammal","3,19",10,"19,3",2,1,5,"llama,werewolf","llama,werewolf"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",1,"bird","8",10,"8",1,1,6,"eagle","eagle"
"b74kvwvw",10,"S",20,"M","german","Hidden Foal",2,"hell","20,25",7,"20,25",2,1,7,"cave,devil","cave,devil"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"house","6",9,"6",1,1,5,"kitchen","kitchen"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"underground","20",10,"20",1,1,7,"cave","cave"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",4,"comics","3, 16, 22, 25",8,"16, 22,17,8",2,0,1,"wonder,ant,devil,werewolf","wonder,ghost,ant,eagle"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",2,"sweet","1,12",9,"1, 24",1,0,8,"cinnamon,pine","cinnamon,bed"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",3,"milk","19, 14, 1",8,"14, 6, 23",1,0,2,"cinnamon,butter,llama","butter,soup,kitchen"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"sculpture","10",10,"10",1,1,9,"statue","statue"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",4,"intelligence","2,3,25,19",7,"25,2, 10, 7",2,0,3,"llama,idea,devil,werewolf","statue,idea,devil,religion"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"plant","12",10,"12",1,1,10,"pine","pine"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",3,"animal","3,19,8",9,"3, 8, 19",3,1,4,"llama,werewolf,eagle","llama,werewolf,eagle"
"b9c2qpzl",12,"F",23,"F","Chinese","Searching Violin",1,"scary","17",10,"17",1,1,12,"ghost","ghost"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"insect","22",10,"22",1,1,7,"ant","ant"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"shapeshifter","3",10,"3",1,1,1,"werewolf","werewolf"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"melting","14, 5",6,"5,14",2,1,8,"butter,igloo","butter,igloo"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"furry","19",9,"19",1,1,2,"llama","llama"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"dark","20",8,"20",1,1,9,"cave","cave"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"think","2,16",9,"2, 16",2,1,3,"wonder,idea","wonder,idea"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"cone","12",10,"12",1,1,10,"pine","pine"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"bold","17, 8",7,"8,22",1,0,4,"ghost,eagle","ant,eagle"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",2,"Ramsay","6,25",8,"6, 25",2,1,11,"devil,kitchen","devil,kitchen"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"art","10",10,"10",1,1,5,"statue","statue"
"cikvd8i6",13,"F",20,"F","Estonian","Unnecessary Mixer",1,"dead","17",10,"17",1,1,12,"ghost","ghost"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"hell","20,25",7,"25,7",1,0,1,"cave,devil","devil,religion"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Fly","8,17",9,"8, 18",1,0,8,"ghost,eagle","cloud,eagle"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Flavour","1,14",7,"1,23",1,0,2,"cinnamon,butter","cinnamon,soup"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"insect","22",10,"22",1,1,9,"ant","ant"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"stone","10,20",8,"10,20",2,1,3,"statue,cave","statue,cave"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"White","5,17",9,"14,17",1,0,10,"ghost,igloo","butter,ghost"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Furry","19,3",9,"3,19",2,1,4,"llama,werewolf","llama,werewolf"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"miracle","16",10,"16",1,1,11,"wonder","wonder"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"witchcraft","6,16",5,"6,23",1,0,5,"wonder,kitchen","soup,kitchen"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",1,"Ananas","12",10,"12",1,1,12,"pine","pine"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",3,"Theoretical","2,17",4,"2,7",1,0,6,"ghost,idea","idea,religion"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"Eskimo","5,14",1,"5,14",2,1,14,"butter,igloo","butter,igloo"
"hw5nww8u",15,"F",22,"F","Hungarian","Rowdy Mill",2,"sandcastle","16,22",5,"4,21",0,0,7,"wonder,ant","pearl,bikini"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",4,"comics","3, 16, 22, 25",8,"16, 22,17,8",2,0,1,"wonder,ant,devil,werewolf","wonder,ghost,ant,eagle"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",2,"sweet","1,12",9,"1, 24",1,0,8,"cinnamon,pine","cinnamon,bed"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",3,"milk","19, 14, 1",8,"14, 6, 23",1,0,2,"cinnamon,butter,llama","butter,soup,kitchen"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"sculpture","10",10,"10",1,1,9,"statue","statue"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",4,"intelligence","2,3,25,19",7,"25,2, 10, 7",2,0,3,"llama,idea,devil,werewolf","statue,idea,devil,religion"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"plant","12",10,"12",1,1,10,"pine","pine"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",3,"animal","3,19,8",9,"3, 8, 19",3,1,4,"llama,werewolf,eagle","llama,werewolf,eagle"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"scary","17",10,"17",1,1,12,"ghost","ghost"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"house","6",9,"6",1,1,5,"kitchen","kitchen"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"jbeosu69",12,"F",21,"M","czech","Searching Violin",1,"underground","20",10,"20",1,1,7,"cave","cave"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"cold","5,17",9,"5,17",2,1,4,"ghost,igloo","ghost,igloo"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"mammal","3,19",10,"19,3",2,1,5,"llama,werewolf","llama,werewolf"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",1,"bird","8",10,"8",1,1,6,"eagle","eagle"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"hell","20,25",7,"20,25",2,1,7,"cave,devil","cave,devil"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"abstract","2,16",8,"2,16",2,1,1,"wonder,idea","wonder,idea"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",1,"tree","12",10,"12",1,1,8,"pine","pine"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"ingredients","1,14",9,"1,14",2,1,2,"cinnamon,butter","cinnamon,butter"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",1,"room","6",10,"6",1,1,9,"kitchen","kitchen"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",2,"stone","10,20",6,"10,13",1,0,3,"statue,cave","statue,maze"
"l8ao3la7",10,"S",22,"F","Czech","Hidden Foal",1,"insect","22",10,"22",1,1,11,"ant","ant"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",3,"runners","3, 22, 19",7,"3,22,19",3,1,1,"llama,ant,werewolf","llama,ant,werewolf"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",3,"white","17, 5, 8",8,"5, 17, 8",3,1,2,"ghost,igloo,eagle","ghost,igloo,eagle"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",2,"rock","10,20",9,"20,10",2,1,3,"statue,cave","statue,cave"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",2,"ingredient","1,14",8,"1, 14",2,1,4,"cinnamon,butter","cinnamon,butter"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",2,"thought","2,16",8,"2, 16",2,1,5,"wonder,idea","wonder,idea"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",1,"forest","12",10,"12",1,1,6,"pine","pine"
"lqwlb3rw",7,"S",19,"M","czech","Jade Piccolo",2,"spicy","6,25",8,"6,25",2,1,7,"devil,kitchen","devil,kitchen"
"m1xbylrv",3,"F",23,"F","Danish","Rowdy Pony",3,"foodmaking","23,6, 1",6,"6, 23,14",2,0,1,"cinnamon,soup,kitchen","butter,soup,kitchen"
"m1xbylrv",3,"F",23,"F","Danish","Rowdy Pony",2,"fly","8, 17",6,"8, 18",1,0,2,"ghost,eagle","cloud,eagle"
"m1xbylrv",3,"F",23,"F","Danish","Rowdy Pony",3,"animal","3, 19, 22",8,"3, 19, 22",3,1,3,"llama,ant,werewolf","llama,ant,werewolf"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",3,"ground","19,20,22",5,"19, 20, 22",3,1,5,"llama,cave,ant","llama,cave,ant"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"creativity","2.1",5,"2, 10",2,1,7,"","statue,idea"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"fairytale","3.17",5,"3, 16",1,0,1,"","wonder,werewolf"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",1,"bird","8",10,"8",1,1,8,"eagle","eagle"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"edible","1, 14",8,"14.23",1,0,2,"cinnamon,butter",""
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"woman","6.16",5,"4, 21",0,0,9,"","pearl,bikini"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"scary","25, 17",10,"17, 25",2,1,3,"ghost,devil","ghost,devil"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"lady","6.16",5,"6, 13",1,0,11,"","maze,kitchen"
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",2,"north","5, 12",7,"5.12",2,1,4,"pine,igloo",""
"mmyh9cox",12,"S",20,"F","Finnish","Orbiting Lathe",1,"fairytale","16",10,"16",1,1,13,"wonder","wonder"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"sandcastle","16,22",5,"4,21",0,0,7,"wonder,ant","pearl,bikini"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"hell","20,25",7,"25,7",1,0,1,"cave,devil","devil,religion"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"Fly","8,17",9,"8, 18",1,0,8,"ghost,eagle","cloud,eagle"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"Flavour","1,14",7,"1,23",1,0,2,"cinnamon,butter","cinnamon,soup"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",1,"insect","22",10,"22",1,1,9,"ant","ant"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"stone","10,20",8,"10,20",2,1,3,"statue,cave","statue,cave"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"White","5,17",9,"14,17",1,0,10,"ghost,igloo","butter,ghost"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"Furry","19,3",9,"3,19",2,1,4,"llama,werewolf","llama,werewolf"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",1,"miracle","16",10,"16",1,1,11,"wonder","wonder"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"witchcraft","6,16",5,"6,23",1,0,5,"wonder,kitchen","soup,kitchen"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",1,"Ananas","12",10,"12",1,1,12,"pine","pine"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",3,"Theoretical","2,17",4,"2,7",1,0,6,"ghost,idea","idea,religion"
"qppykrmn",15,"F",19,"M","Hungarian","Rowdy Mill",2,"Eskimo","5,14",1,"5,14",2,1,14,"butter,igloo","butter,igloo"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"fairytale","3.17",5,"3, 16",1,0,1,"","wonder,werewolf"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",1,"bird","8",10,"8",1,1,8,"eagle","eagle"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"edible","1, 14",8,"14.23",1,0,2,"cinnamon,butter",""
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"woman","6.16",5,"4, 21",0,0,9,"","pearl,bikini"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"scary","25, 17",10,"17, 25",2,1,3,"ghost,devil","ghost,devil"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"lady","6.16",5,"6, 13",1,0,11,"","maze,kitchen"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"north","5, 12",7,"5.12",2,1,4,"pine,igloo",""
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",1,"fairytale","16",10,"16",1,1,13,"wonder","wonder"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",3,"ground","19,20,22",5,"19, 20, 22",3,1,5,"llama,cave,ant","llama,cave,ant"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",1,"spice","1",10,"1",1,1,6,"cinnamon","cinnamon"
"seo2yh1a",12,"S",23,"F","Danish","Orbiting Lathe",2,"creativity","2.1",5,"2, 10",2,1,7,"","statue,idea"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",1,"snow","5",10,"5",1,1,6,"igloo","igloo"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",1,"art","10",10,"10",1,1,7,"statue","statue"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",5,"hunger","3, 6, 10, 22, 20",8,"6, 3, 14, 1, 23",2,0,1,"statue,cave,ant,werewolf,kitchen","cinnamon,butter,soup,werewolf,kitchen"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",1,"bread","14",10,"14",1,1,8,"butter","butter"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",5,"idiot","1, 2, 5, 14, 19",7,"2, 19, 7, 25, 22",2,0,2,"cinnamon,butter,llama,idea,igloo","llama,idea,ant,devil,religion"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",2,"hideout","20,22",8,"20, 24",1,0,9,"cave,ant","cave,bed"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",3,"enemy","22, 25, 20",8,"25, 17, 11",1,0,3,"cave,ant,devil","tank,ghost,devil"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",2,"flying","8, 17",10,"8, 18",1,0,10,"ghost,eagle","cloud,eagle"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",3,"smelly","1, 14, 12",10,"1, 12, 8",2,0,4,"cinnamon,pine,butter","cinnamon,pine,eagle"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",1,"small","22",10,"22",1,1,11,"ant","ant"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",2,"marvel","16, 10",9,"16, 21",1,0,5,"statue,wonder","wonder,pearl"
"zfl5nzxu",12,"F",22,"M","czech","Covert Mixer",1,"nightmare","17",10,"17",1,1,12,"ghost","ghost"
